Sell Item,Category No,Category
2360890,1380,BAKERY SNACKS
3378290,2059,BAKERY BOUGHT IN
3627328,2059,BAKERY BOUGHT IN
4938243,2059,BAKERY BOUGHT IN
4938276,2059,BAKERY BOUGHT IN
